year,N.export.kg.ha.y
1970,6.802760563
1971,4.975833514
1972,5.250892899
1973,8.653865252
1974,6.113032318
1975,5.526972206
1976,7.190331566
1977,4.841833312
1978,1.911015656
1979,2.11618683
1980,3.110712417
1981,2.965073338
1982,2.016119798
1983,1.407782465
1984,0.76321572
1985,1.134021527
1986,1.433402344
1987,2.126760985
1988,1.069780163
1989,2.164367454
1990,5.438981966
1991,1.670115067
1992,0.929392077
1993,0.738000817
1994,0.44732812
1995,0.619393088
1996,1.077579488
1997,0.50061763
1998,1.181693273
1999,3.257382047
2000,1.791941953
2001,0.703333626
2002,0.338920972
2003,0.695494981
2004,0.425319669
2005,0.48741283
2006,0.35171372
2007,0.796754632
2008,0.411519071
2009,0.231844095
2010,0.189356865
2011,0.440127243
2012,0.521996563
2013,0.993297411
2014,2.703639596
