siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,Br,hplus,svol,ppt,fullChemLab,daysSample,startDate,lastDate
NH02,Annual,1978,31,40,72,0.464,0.260,0.080,0.576,0.496,7.636,2.110,2.259,9.127,-9.000,0.252,18144.3,39.978,15,161,"1978-07-25 00:00","1979-01-02 00:00"
NH02,Annual,1979,92,100,95,1.243,0.402,0.207,4.739,1.255,16.738,4.756,3.971,25.168,-9.000,0.465,71447.3,121.820,43,365,"1979-01-02 00:00","1980-01-02 00:00"
NH02,Annual,1980,93,100,93,1.003,0.288,0.167,2.146,1.514,17.082,5.035,2.517,22.878,-9.000,0.508,57920.6,92.888,43,363,"1980-01-02 00:00","1980-12-30 00:00"
NH02,Annual,1981,100,100,100,1.939,0.651,0.242,1.757,3.121,19.890,6.918,2.863,35.266,-9.000,0.700,98863.6,151.488,50,364,"1980-12-30 00:00","1981-12-29 00:00"
NH02,Annual,1982,87,100,90,0.772,0.264,0.152,0.894,1.798,15.758,4.957,1.483,20.239,-9.000,0.467,56830.2,101.601,42,371,"1981-12-29 00:00","1983-01-04 00:00"
NH02,Annual,1983,90,100,91,0.863,0.288,0.262,0.981,2.184,15.459,5.189,1.857,21.514,-9.000,0.481,77147.8,130.783,45,364,"1983-01-04 00:00","1984-01-03 00:00"
NH02,Annual,1984,94,100,99,0.979,0.326,0.301,1.130,2.084,16.091,5.254,1.983,20.810,-9.000,0.487,80023.5,125.515,46,365,"1984-01-03 00:00","1985-01-02 00:00"
NH02,Annual,1985,79,100,67,0.691,0.240,0.150,0.711,1.633,15.311,4.728,1.453,18.026,-9.000,0.459,42789.0,100.202,39,363,"1985-01-02 00:00","1985-12-31 00:00"
NH02,Annual,1986,96,100,99,0.511,0.150,0.112,0.573,1.733,14.897,4.712,1.222,23.760,-9.000,0.552,77964.6,124.660,50,364,"1985-12-31 00:00","1986-12-30 00:00"
NH02,Annual,1987,96,100,98,0.542,0.177,0.155,0.940,1.680,12.879,4.215,1.758,17.986,-9.000,0.411,66920.1,110.550,45,364,"1986-12-30 00:00","1987-12-29 00:00"
NH02,Annual,1988,91,100,95,0.822,0.203,0.111,0.979,1.385,14.486,4.349,1.634,20.072,-9.000,0.447,54840.5,92.329,47,371,"1987-12-29 00:00","1989-01-03 00:00"
NH02,Annual,1989,96,100,99,0.853,0.233,0.181,1.227,3.139,19.259,6.789,2.325,24.103,-9.000,0.546,82582.2,129.169,46,364,"1989-01-03 00:00","1990-01-02 00:00"
NH02,Annual,1990,87,100,85,0.659,0.214,0.138,1.149,2.236,17.719,5.740,2.282,23.906,-9.000,0.562,83705.3,153.146,42,364,"1990-01-02 00:00","1991-01-01 00:00"
NH02,Annual,1991,94,100,96,0.555,0.109,0.133,0.531,1.919,16.160,5.142,1.171,21.736,-9.000,0.528,75359.9,120.689,47,363,"1991-01-01 00:00","1991-12-30 00:00"
NH02,Annual,1992,98,100,100,0.471,0.146,0.123,1.099,1.918,15.465,4.983,1.963,19.490,-9.000,0.462,72006.4,112.143,48,365,"1991-12-30 00:00","1992-12-29 00:00"
NH02,Annual,1993,88,100,93,0.440,0.247,0.172,1.751,1.525,14.619,4.488,2.922,16.198,-9.000,0.386,63118.3,107.415,47,371,"1992-12-29 00:00","1994-01-04 00:00"
NH02,Annual,1994,96,100,95,0.551,0.117,0.117,0.572,2.141,15.747,5.221,1.081,16.849,-9.000,0.446,64072.1,105.970,47,364,"1994-01-04 00:00","1995-01-03 00:00"
NH02,Annual,1995,81,100,88,0.533,0.185,0.162,1.412,2.547,16.289,5.659,2.304,16.486,-9.000,0.448,63947.6,115.771,37,364,"1995-01-03 00:00","1996-01-02 00:00"
NH02,Annual,1996,96,100,95,0.731,0.305,0.244,2.484,2.499,17.814,5.966,4.267,19.764,-9.000,0.505,93967.0,152.386,47,363,"1996-01-02 00:00","1996-12-30 00:00"
