Date & Time,Cumulative hour,Oxygen (mg/L),Oxygen (% saturation),Temperature (°C)
date_time,cum_h,O_mg.L,O_perc,temp
6/27/13 6:15,0,7.39,96,26.9
6/27/13 6:30,0.25,7.27,94.5,26.9
6/27/13 6:45,0.5,7.54,97.9,26.9
6/27/13 7:00,0.75,7.45,96.7,26.9
6/27/13 7:15,1,7.45,96.8,26.9
6/27/13 7:30,1.25,7.45,96.8,26.8
6/27/13 7:45,1.5,7.52,97.6,26.8
6/27/13 8:00,1.75,7.51,97.6,26.8
6/27/13 8:15,2,7.55,98,26.8
6/27/13 8:30,2.25,7.56,98.1,26.9
6/27/13 8:45,2.5,7.67,99.7,26.9
6/27/13 9:00,2.75,7.75,100.7,26.9
6/27/13 9:15,3,8.07,104.9,26.9
6/27/13 9:30,3.25,8.12,105.6,26.9
6/27/13 9:45,3.5,8.18,106.5,26.9
6/27/13 10:00,3.75,8.24,107.3,27
6/27/13 10:15,4,8.46,110.2,27
6/27/13 10:30,4.25,8.41,109.6,27
6/27/13 10:45,4.5,8.57,111.7,27
6/27/13 11:00,4.75,8.64,112.6,27.1
6/27/13 11:15,5,8.73,113.9,27.1
6/27/13 11:30,5.25,8.98,117.2,27.1
6/27/13 11:45,5.5,9.22,120.3,27.1
6/27/13 12:00,5.75,9.4,122.8,27.2
6/27/13 12:15,6,9.61,125.6,27.2
6/27/13 12:30,6.25,9.62,127.4,27.2
6/27/13 12:45,6.5,9.78,128.2,27.2
6/27/13 13:00,6.75,9.97,130.7,27.2
6/27/13 13:15,7,10.07,132.1,27.3
6/27/13 13:30,7.25,10.2,134,27.4
6/27/13 13:45,7.5,10.31,135.7,27.5
6/27/13 14:00,7.75,10.55,139.1,27.6
6/27/13 14:15,8,10.65,140.7,27.6
6/27/13 14:30,8.25,10.6,140,27.6
6/27/13 14:45,8.5,10.72,141.6,27.6
6/27/13 15:00,8.75,10.82,143.1,27.7
6/27/13 15:15,9,10.83,143.3,27.7
6/27/13 15:30,9.25,10.98,145.2,27.7
6/27/13 15:45,9.5,10.94,144.9,27.8
6/27/13 16:00,9.75,11.06,146.5,27.8
6/27/13 16:15,10,10.85,144.3,28
6/27/13 16:30,10.25,10.87,144.7,28.1
6/27/13 16:45,10.5,11,146.5,28.1
6/27/13 17:00,10.75,11.1,147.9,28.1
6/27/13 17:15,11,11.14,148.5,28.1
6/27/13 17:30,11.25,11.04,147,28.1
6/27/13 17:45,11.5,10.93,145.4,28.1
6/27/13 18:00,11.75,10.92,145.2,28
6/27/13 18:15,12,10.93,145.2,28
6/27/13 18:30,12.25,10.88,144.5,28
6/27/13 18:45,12.5,10.79,143.2,27.9
6/27/13 19:00,12.75,10.82,143.6,27.9
6/27/13 19:15,13,10.81,143.3,27.9
6/27/13 19:30,13.25,10.75,142.5,27.8
6/27/13 19:45,13.5,10.58,140.1,27.8
6/27/13 20:00,13.75,10.59,140.2,27.8
6/27/13 20:15,14,10.52,139.2,27.8
6/27/13 20:30,14.25,10.44,138.2,27.8
6/27/13 20:45,14.5,10.39,137.5,27.7
6/27/13 21:00,14.75,10.28,136,27.7
6/27/13 21:15,15,10.25,135.5,27.7
6/27/13 21:30,15.25,10.17,134.5,27.7
6/27/13 21:45,15.5,10.1,133.5,27.7
6/27/13 22:00,15.75,10.03,132.5,27.7
6/27/13 22:15,16,9.86,130.1,27.6
6/27/13 22:30,16.25,9.7,128,27.6
6/27/13 22:45,16.5,9.66,127.4,27.6
6/27/13 23:00,16.75,9.64,127.1,27.5
6/27/13 23:15,17,9.66,127.4,27.5
6/27/13 23:30,17.25,9.61,126.7,27.5
6/27/13 23:45,17.5,9.5,125.2,27.5
6/28/13 0:00,17.75,9.45,124.5,27.5
6/28/13 0:15,18,9.41,123.9,27.5
6/28/13 0:30,18.25,9.39,123.6,27.5
6/28/13 0:45,18.5,9.3,122.4,27.4
6/28/13 1:00,18.75,9.26,121.9,27.4
6/28/13 1:15,19,9.15,120.4,27.4
6/28/13 1:30,19.25,9.11,119.8,27.4
6/28/13 1:45,19.5,9.1,119.7,27.4
6/28/13 2:00,19.75,9.01,118.5,27.4
6/28/13 2:15,20,8.98,118.4,27.4
6/28/13 2:30,20.25,8.92,117.6,27.3
6/28/13 2:45,20.5,8.89,117.1,27.3
