year,factor,value
1970,ann.exp.TN.kg.y,6.802760563
1971,ann.exp.TN.kg.y,4.975833514
1972,ann.exp.TN.kg.y,5.250892899
1973,ann.exp.TN.kg.y,8.653865252
1974,ann.exp.TN.kg.y,6.113032318
1975,ann.exp.TN.kg.y,5.526972206
1976,ann.exp.TN.kg.y,7.190331566
1977,ann.exp.TN.kg.y,4.841833312
1978,ann.exp.TN.kg.y,1.911015656
1979,ann.exp.TN.kg.y,2.11618683
1980,ann.exp.TN.kg.y,3.110712417
1981,ann.exp.TN.kg.y,2.965073338
1982,ann.exp.TN.kg.y,2.016119798
1983,ann.exp.TN.kg.y,1.407782465
1984,ann.exp.TN.kg.y,0.76321572
1985,ann.exp.TN.kg.y,1.134021527
1986,ann.exp.TN.kg.y,1.433402344
1987,ann.exp.TN.kg.y,2.126760985
1988,ann.exp.TN.kg.y,1.069780163
1989,ann.exp.TN.kg.y,2.164367454
1990,ann.exp.TN.kg.y,5.438981966
1991,ann.exp.TN.kg.y,1.670115067
1992,ann.exp.TN.kg.y,0.929392077
1993,ann.exp.TN.kg.y,0.738000817
1994,ann.exp.TN.kg.y,0.44732812
1995,ann.exp.TN.kg.y,0.619393088
1996,ann.exp.TN.kg.y,1.077579488
1997,ann.exp.TN.kg.y,0.50061763
1998,ann.exp.TN.kg.y,1.181693273
1999,ann.exp.TN.kg.y,3.257382047
2000,ann.exp.TN.kg.y,1.791941953
2001,ann.exp.TN.kg.y,0.703333626
2002,ann.exp.TN.kg.y,0.338920972
2003,ann.exp.TN.kg.y,0.695494981
2004,ann.exp.TN.kg.y,0.425319669
2005,ann.exp.TN.kg.y,0.48741283
2006,ann.exp.TN.kg.y,0.35171372
2007,ann.exp.TN.kg.y,0.796754632
2008,ann.exp.TN.kg.y,0.411519071
2009,ann.exp.TN.kg.y,0.231844095
2010,ann.exp.TN.kg.y,0.189356865
2011,ann.exp.TN.kg.y,0.440127243
2012,ann.exp.TN.kg.y,0.521996563
2013,ann.exp.TN.kg.y,0.993297411
2014,ann.exp.TN.kg.y,2.703639596
2015,ann.exp.TN.kg.y,NA
2016,ann.exp.TN.kg.y,NA
2017,ann.exp.TN.kg.y,NA
1970,ann.flow.mm.y,735.2
1971,ann.flow.mm.y,717.9
1972,ann.flow.mm.y,947.8
1973,ann.flow.mm.y,1470.2
