DATE,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,WS_8,WS_9
1956-01-01,0.274,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-02,0.265,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-03,0.251,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-04,0.248,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-05,0.250,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-06,0.249,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-07,0.250,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-08,0.625,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-09,5.023,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-10,9.729,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-11,6.465,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-12,9.339,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-13,8.911,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-14,4.234,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-15,2.702,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-16,2.129,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-17,1.766,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-18,1.453,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-19,1.220,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-20,1.074,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-21,0.983,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-22,0.931,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-23,0.874,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-24,0.805,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-25,0.729,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-26,0.672,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-27,0.644,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-28,0.604,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-29,0.581,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-30,0.559,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-01-31,0.541,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-01,0.492,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-02,1.124,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-03,0.550,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-04,0.447,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-05,0.444,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-06,0.455,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-07,0.488,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-08,0.489,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-09,0.489,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-10,0.489,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-11,0.489,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-12,0.489,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-13,0.489,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-14,0.485,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-15,0.490,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-16,0.493,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-17,0.458,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-18,0.455,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-19,0.444,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-20,0.422,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-21,0.412,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-22,0.378,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-23,0.380,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-24,0.377,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-25,1.086,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-26,1.391,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-27,0.949,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-28,0.831,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-02-29,0.750,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-01,0.657,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-02,0.643,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-03,0.650,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-04,0.729,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-05,0.661,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-06,0.614,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-07,0.597,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-08,0.591,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-09,0.581,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-10,0.588,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-11,0.594,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-12,0.610,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-13,0.604,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-14,0.602,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-15,0.576,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-16,0.558,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-17,0.549,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-18,0.543,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-19,0.564,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-20,0.553,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-21,0.627,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-22,0.822,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-23,0.924,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-24,0.911,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-25,0.842,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-26,0.827,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-27,0.793,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-28,0.758,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-29,0.754,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-30,0.753,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-03-31,0.735,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-01,0.797,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-02,1.175,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-03,1.552,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-04,4.851,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-05,14.156,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-06,13.319,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-07,9.576,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-08,6.096,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-09,3.716,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-10,3.519,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-11,6.099,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-12,10.386,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-13,9.950,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-14,8.019,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-15,6.159,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-16,13.789,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-17,20.116,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-18,10.054,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-19,7.260,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-20,6.336,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-21,7.580,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-22,7.545,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-23,5.623,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-24,4.101,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-25,4.588,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-26,4.817,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-27,7.421,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-28,20.555,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-29,31.044,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
1956-04-30,27.307,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000,-99.000
